species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
,,56.68,20.02,217.36,4371.89,
,,38.68,19.13,174.04,6247.94,
,,35.83,16.27,191.26,4182.28,
,,36.12,14.52,208.4,6240.37,
,,44.88,20.8,176.81,2782.91,
,,45.44,21.01,225.64,3552.65,
,,49.65,17.76,211.15,3928.49,
,,44.63,16.54,224.65,6066.08,
,,56.63,13.12,199.9,6135.29,
,,58.15,13.94,221.96,5871.41,
,,38.35,16.72,178.37,5003.87,
,,55.01,19.35,193.15,5548.64,
,,46.89,14.79,217.98,5110.9,
,,42.95,18.08,210.55,2878.3,
,,37.12,21.5,191.09,3962.25,
,,45.55,13.94,209.7,3348.36,
,,50.1,15.37,184.63,5263.59,
,,56.32,14.94,216.93,5679.3,
,,47.08,14.46,196.1,4929.74,
,,36.28,18.79,189.38,4001.68,
,,57.23,17.37,227.51,6161.03,
,,38.27,18.09,207.04,3563.35,
,,43.28,17.05,212.89,4840.87,
,,38.35,17.42,199.97,6026.28,
,,53.39,20.27,206.38,3303.26,
,,32.59,20.43,186.28,2841.74,
,,57.76,16.87,173.56,4757.77,
,,43.18,15.31,230.42,3121.61,
,,44.94,17.17,198.1,4926.6,
,,35.41,15.45,192.84,5605.11,
,,56.25,18.94,182.78,6023.8,
,,33.17,17.16,229.15,3639.67,
,,41.06,18.14,216.7,6153.22,
,,55.55,14.39,192.48,4409.14,
,,58.37,14.62,196.02,4667.98,
,,47.06,20.67,230.06,3928.27,
,,44.33,18.91,207.29,3445.65,
,,42.23,15.48,202.1,4723.9,
,,47.71,19.03,179.53,6206.19,
,,50.65,15.64,222.66,2712.06,
,,42.02,17.12,207.68,5221.63,
,,36.25,16.24,191.74,6059.09,
,,39.26,17.34,210.14,5076.06,
,,42.79,13.15,183.05,5384.72,
,,45.85,17.54,174.31,5389.94,
,,57.16,13.64,211.92,5810.66,
,,44.87,20.56,207.21,5859.73,
,,54.69,14.58,199.86,4726.74,
,,58.62,19.6,179.84,6022.61,
,,46.13,17.68,200.85,5714.02,
,,37.76,19.06,183.75,5033.66,
,,37.69,13.61,220.57,2992.84,
,,42.29,16.81,226.96,3772.63,
,,35.71,17.34,218.03,4421.13,
,,47.93,20.06,200.39,4219.43,
,,42.14,17.5,224.38,3963.06,
,,37.43,19.32,190.8,5544.12,
,,40.34,18.14,194.82,5072.72,
,,47.34,21.13,187.23,2909.27,
,,41.64,13.29,217.25,2750.4,
,,39.37,16.95,223.09,5322.98,
,,49.57,17.63,203.44,3813.64,
,,51.6,15.43,181.41,5140.43,
,,33.4,16.08,205.68,6065.75,
,,57.13,20.66,194.72,4598.19,
,,57.17,14.98,188.19,3507.53,
,,58.62,15.76,175.38,3978.94,
,,33.52,15.57,195.21,2795.83,
,,37.37,15.02,197.31,5731.02,
,,42.94,14.78,220.49,5159.74,
,,47.29,18.23,210.78,2857.51,
,,49.79,13.2,190.6,6126.81,
,,46.17,18.91,198.85,4336.73,
,,52.3,16.59,187.98,3623.77,
,,43.27,18.07,211.57,4098.77,
,,34,16.45,179.48,5256.26,
,,52.22,17.08,228.87,5072.5,
,,47.74,21.2,175.13,3177.93,
,,40.1,20.18,198.29,3689.3,
,,53.32,17.42,215.7,3140.94,
,,44.46,14.05,183.43,4976.92,
,,43.65,15.43,229.16,5087.52,
,,37.65,18.24,216.75,3640.51,
,,49.7,13.89,200.78,5623.09,
,,43.81,13.82,209.33,4543.56,
,,55.26,20.72,201.34,3414.61,
,,48.16,18.11,220.73,2852.77,
,,40.36,15.06,195.43,3512.38,
,,43.22,15.5,199.42,5001.22,
,,54.97,20.6,198.22,6055.22,
,,46.74,17.95,201.54,5225.74,
,,33.63,14.16,184.52,5928.18,
,,36.7,16.42,208.9,2883.89,
,,54.4,17.45,221.61,3361.47,
,,49.09,14.1,229.99,5986.98,
,,50.27,18.11,216.38,5050.08,
,,34.74,19.3,208.74,5182.93,
,,37.47,13.96,194.59,6166.94,
,,50.04,15.65,185.88,6255.2,
,,32.95,19.26,218.15,4871.24,
,,37.46,18.39,208.66,4997.78,
,,55.17,13.5,175.25,2762.56,
,,58.8,20.44,220.62,5420.64,
,,39.3,17.36,177.34,3442.67,
,,57.16,15.03,227.04,3729.95,
,,52.63,21.04,186.36,5410.84,
,,47.05,18.69,221.63,5660.72,
,,47.95,20.6,189.8,3938,
,,32.99,19.85,222.64,2792.74,
,,57.53,16.83,182.82,4213.58,
,,46.06,13.55,195.02,3355.14,
,,39.64,17.39,191.13,4792.24,
,,51.89,14.29,172.47,3933.59,
,,32.97,17.2,207.55,3871.27,
,,53.76,13.42,230.45,5498.18,
,,54.21,20.25,192.47,4323.18,
,,57.3,17.83,224.89,3642.9,
,,43.8,19.29,184.06,4196.47,
,,37.65,20.56,215.66,6103.34,
,,32.77,19.08,187.93,5482.56,
,,47.1,15.62,230.64,5551.21,
,,44.76,19.49,185.31,3945.1,
,,43.16,16.07,194.82,4759.11,
,,46.8,16.04,209.18,3376.82,
,,44.72,20.34,210.11,3012.9,
,,37.14,17.05,195.12,6269.17,
,,36.62,18.16,217,6238.21,
,,49.28,17.53,172.46,4143.15,
,,52.74,13.66,174.42,3448.38,
,,42.72,15.16,219.46,5867.25,
,,53.5,16.77,203.55,4807.42,
,,56.15,16.85,194.61,3619.73,
,,46.55,14.53,201.54,5747.4,
,,32.41,17.73,189.74,5418.15,
,,53.13,15.19,209.45,3484.71,
,,44.16,15.52,195.87,4953.19,
,,36.1,21.48,218.18,4183.12,
,,37.43,21.27,203.62,5182.82,
,,43.45,15.91,176.78,3595.6,
,,45.2,20.52,228.8,3557.08,
,,42.72,17.01,225.69,5526.76,
,,35.88,20.43,201.74,3086.5,
,,44.36,18.07,204.36,4933.06,
,,46.69,19.98,202.81,4205.24,
,,56.45,15.8,198.88,3916.04,
,,48.93,18.88,175.58,3308.64,
,,54.84,15.13,218.23,5809.68,
,,35.98,20.57,179.71,6008.1,
,,54.7,15.19,175.34,6242.08,
,,58.22,19.37,223.91,3638.4,
,,37.81,20.7,228.58,4894.74,
,,53.35,14.96,224.24,2902.07,
,,55.24,15.36,225.84,4201.92,
,,44.08,17.43,208.47,4884.09,
,,43.42,16.94,213.29,3332.32,
,,38.92,17.31,227.93,4301.59,
,,37.18,18.84,184.49,2923.41,
,,39.37,18.43,195.63,5249.67,
,,43.23,20.84,195.7,5122.68,
,,53.01,20.85,181.51,6089.35,
,,32.59,21.07,222.64,4972.42,
,,35.55,17.75,172.5,3512.36,
,,55.04,20.46,178.21,3985.78,
,,39.39,19.69,183.49,4512.5,
,,42.04,15.41,172.86,5489.41,
,,58.15,17.9,214.64,5129.26,
,,43.05,19.97,225,3112.99,
,,32.27,20.33,225.94,5828.9,
,,46.25,16.51,201.15,5636.78,
,,55.48,19.54,181.34,3744.8,
,,40.27,18.88,218.74,3264.55,
,,39.83,18.1,173.7,4554.85,
,,42.02,13.98,214.87,4344.48,
,,35.48,18.83,215.4,5742.62,
,,39.14,14.6,202.58,2887.07,
,,47.47,15.79,180.63,3919.08,
,,54.66,17.27,196.25,5475.81,
,,34.36,21.45,181.32,3302.78,
,,33.45,16.53,215.04,4329.17,
,,51.04,14.07,209.39,3342.8,
,,45.95,15.81,204.13,3389.08,
,,32.19,20.93,184.93,6100.9,
,,32.86,18.01,197.55,4750.81,
,,32.36,20.55,183.73,3825.76,
,,46.63,21.48,199.95,5523.63,
,,38.88,21.33,184.94,3574.33,
,,52.24,16.13,210.59,3143.38,
,,42.73,19.84,202.28,4304.49,
,,51.14,17.32,177.52,5621.62,
,,35.31,15.92,186.34,4773.99,
,,47.19,17.33,183.36,4100.06,
,,35.61,18.43,176.61,2725.76,
,,40.47,16.48,185.31,5973.93,
,,55.96,13.88,224.01,4281.78,
,,53.92,15.72,174.86,6241.02,
,,48.04,20.09,202.84,6047.84,
,,56.66,17.12,214.18,5574.84,
,,52.18,13.71,194.55,3396.29,
,,38.29,14.16,202.34,5328.82,
,,32.84,19.42,189.02,2819.16,
,,37.72,14.41,175.53,6031.22,
,,34.61,14.8,227.68,5951.39,
,,55.15,20.64,230.65,2773.21,
,,39.48,17.53,209.48,3835.38,
,,46.9,14.09,221,5690.34,
,,49.74,15.16,201.8,4261.13,
,,49.5,16.01,226.32,5513.52,
,,58.16,15.08,173.76,4533.07,
,,38.87,19.53,203.1,3289.12,
,,46.83,13.53,175.29,5128.77,
,,58.12,18.69,228.76,4009.39,
,,45.79,15.03,180.43,2845.08,
,,56.7,19.87,214.93,3134.81,
,,55.07,16.59,218.07,3988.64,
,,45.43,13.32,195.32,5261.67,
,,56.99,15.29,227.09,5899.89,
,,56.55,17.67,222.45,4862.03,
